Gen,ID,Parent1,Parent2,Crossover,Mut_Î”x,New_X,fitness(x)
1,0,45,32,38.5,-2.596517153634065,35.90348284636593,2498.797650131786
1,0,45,32,38.5,-2.596517153634065,35.90348284636593,2498.797650131786
1,1,45,32,38.5,4.967477168388784,43.46747716838878,2458.1717390763697
1,0,45,32,38.5,-2.596517153634065,35.90348284636593,2498.797650131786
1,1,45,32,38.5,4.967477168388784,43.46747716838878,2458.1717390763697
1,2,45,32,38.5,0.47564272214751124,38.97564272214751,2496.0968358344257
1,0,45,32,38.5,-2.596517153634065,35.90348284636593,2498.797650131786
1,1,45,32,38.5,4.967477168388784,43.46747716838878,2458.1717390763697
1,2,45,32,38.5,0.47564272214751124,38.97564272214751,2496.0968358344257
1,3,45,32,38.5,0.9223244922377694,39.42232449223777,2494.132344054305
1,0,45,32,38.5,-2.596517153634065,35.90348284636593,2498.797650131786
1,1,45,32,38.5,4.967477168388784,43.46747716838878,2458.1717390763697
1,2,45,32,38.5,0.47564272214751124,38.97564272214751,2496.0968358344257
1,3,45,32,38.5,0.9223244922377694,39.42232449223777,2494.132344054305
1,4,45,32,38.5,3.7908840315023564,42.29088403150236,2472.0065461651934
